Date,Close
2015-08-26,4.48
2015-08-27,4.63
2015-08-28,4.58
2015-08-31,4.6
2015-09-01,4.42
2015-09-02,4.42
2015-09-03,4.46
2015-09-04,4.49
2015-09-08,4.6
2015-09-09,4.44
2015-09-10,4.4
2015-09-11,4.49
2015-09-14,4.42
2015-09-15,4.48
2015-09-16,4.63
2015-09-17,4.63
2015-09-18,4.66
2015-09-21,4.39
2015-09-22,4.17
2015-09-23,4.03
2015-09-24,3.97
2015-09-25,3.9
2015-09-28,3.62
2015-09-29,3.55
2015-09-30,3.7
2015-10-01,3.65
2015-10-02,4.07
2015-10-05,4.64
2015-10-06,4.77
2015-10-07,5.05
2015-10-08,5.22
2015-10-09,5.16
2015-10-12,5.08
2015-10-13,4.88
2015-10-14,4.99
2015-10-15,5.21
2015-10-16,4.96
2015-10-19,4.98
2015-10-20,3.75
2015-10-21,3.98
2015-10-22,3.83
2015-10-23,3.87
2015-10-26,4.03
2015-10-27,3.5
2015-10-28,3.7
2015-10-29,3.7
2015-10-30,3.6
2015-11-02,3.49
2015-11-03,3.72
2015-11-04,2.33
2015-11-05,2.3
2015-11-06,2.19
2015-11-09,2.1
2015-11-10,1.92
2015-11-11,1.87
2015-11-12,1.86
2015-11-13,1.88
2015-11-16,2.12
2015-11-17,1.89
2015-11-18,1.9
2015-11-19,1.73
2015-11-20,1.71
2015-11-23,1.69
2015-11-24,1.73
2015-11-25,1.75
2015-11-27,1.77
2015-11-30,1.67
2015-12-01,1.89
2015-12-02,2.02
2015-12-03,2.13
2015-12-04,2.08
2015-12-07,2.26
2015-12-08,2.11
2015-12-09,2.22
2015-12-10,2.15
2015-12-11,2.1
2015-12-14,2.23
2015-12-15,2.41
2015-12-16,3.34
2015-12-17,3.16
2015-12-18,3.01
2015-12-21,3.59
2015-12-22,3.54
2015-12-23,3.68
2015-12-24,3.62
2015-12-28,3.59
2015-12-29,3.46
2015-12-30,3.5
2015-12-31,3.51
2016-01-04,3.49
2016-01-05,3.35
2016-01-06,3.16
2016-01-07,3
2016-01-08,2.99
2016-01-11,2.8
2016-01-12,2.71
2016-01-13,2.5
2016-01-14,2.35
2016-01-15,2.19
2016-01-19,2.19
2016-01-20,2.04
2016-01-21,2.46
2016-01-22,2.36
2016-01-25,2.31
2016-01-26,2.34
2016-01-27,2.26
2016-01-28,2.31
2016-01-29,2.43
2016-02-01,2.39
2016-02-02,2.21
2016-02-03,2.31
2016-02-04,2.31
2016-02-05,2.13
2016-02-08,2.09
2016-02-09,1.94
2016-02-10,1.9
2016-02-11,1.83
2016-02-12,1.95
2016-02-16,2.13
2016-02-17,2.24
2016-02-18,2.1
2016-02-19,2.14
2016-02-22,2.21
2016-02-23,2.35
2016-02-24,1.98
2016-02-25,1.96
2016-02-26,1.92
2016-02-29,2.33
2016-03-01,2.44
2016-03-02,2.61
2016-03-03,3.33
2016-03-04,3.05
2016-03-07,3.3
2016-03-08,2.92
2016-03-09,3.11
2016-03-10,2.94
2016-03-11,2.94
2016-03-14,2.82
2016-03-15,2.67
2016-03-16,2.56
2016-03-17,2.7
2016-03-18,2.63
2016-03-21,2.54
2016-03-22,2.46
2016-03-23,2.26
2016-03-24,2.21
2016-03-28,2.13
2016-03-29,2.14
2016-03-30,2.29
2016-03-31,2.33
2016-04-01,2.39
2016-04-04,2.57
2016-04-05,2.59
2016-04-06,2.58
2016-04-07,2.45
2016-04-08,2.31
2016-04-11,2.32
2016-04-12,2.39
2016-04-13,2.56
2016-04-14,2.71
2016-04-15,2.57
2016-04-18,2.63
2016-04-19,2.53
2016-04-20,2.54
2016-04-21,2.49
2016-04-22,2.57
2016-04-25,2.5
2016-04-26,2.64
2016-04-27,2.68
2016-04-28,2.58
2016-04-29,2.51
2016-05-02,2.56
2016-05-03,2.46
2016-05-04,2.1
2016-05-05,2.08
2016-05-06,1.92
2016-05-09,1.93
2016-05-10,1.94
2016-05-11,1.9
2016-05-12,1.8
2016-05-13,1.77
2016-05-16,1.81
2016-05-17,1.79
2016-05-18,1.85
2016-05-19,1.84
2016-05-20,1.85
2016-05-23,1.98
2016-05-24,1.94
2016-05-25,2.05
2016-05-26,2.01
2016-05-27,2.11
2016-05-31,2.09
2016-06-01,2.09
2016-06-02,2.09
2016-06-03,2.01
2016-06-06,2.29
2016-06-07,2.23
2016-06-08,2.23
2016-06-09,2.1
2016-06-10,2.03
2016-06-13,1.94
2016-06-14,2
2016-06-15,2.07
2016-06-16,2.01
2016-06-17,2.12
2016-06-20,2.14
2016-06-21,2.15
2016-06-22,2.13
2016-06-23,2.28
2016-06-24,2.08
2016-06-27,1.91
2016-06-28,1.95
2016-06-29,1.89
2016-06-30,1.99
2016-07-01,1.96
2016-07-05,1.9
2016-07-06,1.89
2016-07-07,1.89
2016-07-08,1.96
2016-07-11,2.06
2016-07-12,2.05
2016-07-13,1.96
2016-07-14,1.9
2016-07-15,1.88
2016-07-18,1.89
2016-07-19,1.82
2016-07-20,1.84
2016-07-21,1.85
2016-07-22,1.85
2016-07-25,1.76
2016-07-26,1.78
2016-07-27,1.81
2016-07-28,1.8
2016-07-29,1.8
2016-08-01,1.81
2016-08-02,1.79
2016-08-03,1.79
2016-08-04,1.8
2016-08-05,1.89
2016-08-08,1.93
2016-08-09,1.98
2016-08-10,1.83
2016-08-11,1.78
2016-08-12,1.78
2016-08-15,1.89
2016-08-16,1.82
2016-08-17,1.83
2016-08-18,1.89
2016-08-19,1.95
2016-08-22,1.9
2016-08-23,1.92
2016-08-24,1.87
2016-08-25,1.84
2016-08-26,1.81
2016-08-29,1.84
2016-08-30,1.84
2016-08-31,1.82
2016-09-01,1.82
2016-09-02,1.82
2016-09-06,1.85
2016-09-07,1.82
2016-09-08,1.8
2016-09-09,1.8
2016-09-12,1.8
2016-09-13,1.75
2016-09-14,1.7
2016-09-15,1.67
2016-09-16,1.44
2016-09-19,1.48
2016-09-20,1.4
2016-09-21,1.48
2016-09-22,1.67
2016-09-23,1.2
2016-09-26,1.2
2016-09-27,1.2
2016-09-28,1.19
2016-09-29,1.2
2016-09-30,1.18
2016-10-03,1.19
2016-10-04,1.2
2016-10-05,1.19
2016-10-06,1.21
2016-10-07,1.16
2016-10-10,1.06
2016-10-11,1.07
2016-10-12,1.09
2016-10-13,1.1
2016-10-14,1.14
2016-10-17,1.15
2016-10-18,1.13
2016-10-19,1.12
2016-10-20,1.15
2016-10-21,1.16
2016-10-24,1.14
2016-10-25,1.11
2016-10-26,1.06
2016-10-27,1.09
2016-10-28,1.07
2016-10-31,1
2016-11-01,1.01
2016-11-02,1.17
2016-11-03,1.2
2016-11-04,1.17
2016-11-07,1.16
2016-11-08,1.2
2016-11-09,1.11
2016-11-10,1.12
2016-11-11,1.14
2016-11-14,1.14
2016-11-15,1.05
2016-11-16,1.11
2016-11-17,1.13
2016-11-18,1.1
2016-11-21,1.08
2016-11-22,1.09
2016-11-23,1.14
2016-11-25,1.14
2016-11-28,1.13
2016-11-29,1.12
2016-11-30,1.12
2016-12-01,1.11
2016-12-02,1.14
2016-12-05,1.15
2016-12-06,1.37
2016-12-07,1.32
2016-12-08,1.34
2016-12-09,1.32
2016-12-12,1.25
2016-12-13,1.28
2016-12-14,1.2
2016-12-15,1.18
2016-12-16,1.24
2016-12-19,1.3
2016-12-20,1.27
2016-12-21,1.21
2016-12-22,1.23
2016-12-23,1.13
2016-12-27,1.06
2016-12-28,0.98
2016-12-29,0.97
2016-12-30,1.01
2017-01-03,1.05
2017-01-04,1.15
2017-01-05,1.12
2017-01-06,1.11
2017-01-09,1.11
2017-01-10,1.13
2017-01-11,1.44
2017-01-12,1.36
2017-01-13,1.54
2017-01-17,1.65
2017-01-18,1.89
2017-01-19,1.78
2017-01-20,1.85
2017-01-23,1.7
2017-01-24,1.66
2017-01-25,1.71
2017-01-26,1.64
2017-01-27,1.6
2017-01-30,1.49
2017-01-31,1.49
2017-02-01,1.51
2017-02-02,1.47
2017-02-03,1.43
2017-02-06,1.42
2017-02-07,1.45
2017-02-08,1.54
2017-02-09,1.56
2017-02-10,1.56
2017-02-13,1.51
2017-02-14,1.5
2017-02-15,1.6
2017-02-16,1.61
2017-02-17,1.64
2017-02-21,1.69
2017-02-22,1.61
2017-02-23,1.69
2017-02-24,1.86
2017-02-27,1.9
2017-02-28,1.79
2017-03-01,1.61
2017-03-02,1.53
2017-03-03,1.47
2017-03-06,1.36
2017-03-07,1.28
2017-03-08,1.22
2017-03-09,1.14
2017-03-10,1.33
2017-03-13,1.23
2017-03-14,1.28
2017-03-15,1.37
2017-03-16,1.37
2017-03-17,1.4
2017-03-20,1.34
2017-03-21,1.25
2017-03-22,1.24
2017-03-23,1.24
2017-03-24,1.24
2017-03-27,1.24
2017-03-28,1.25
2017-03-29,1.3
2017-03-30,1.35
2017-03-31,1.37
2017-04-03,1.37
2017-04-04,1.4
2017-04-05,1.29
2017-04-06,1.35
2017-04-07,1.36
2017-04-10,1.35
2017-04-11,1.34
2017-04-12,1.34
2017-04-13,1.31
2017-04-17,1.31
2017-04-18,1.26
2017-04-19,1.19
